ano,area_nome,regiao,programas,participacao_regional
2024,Ciência Política / RI,NORDESTE,11,0.171875
2024,Ciência Política / RI,NORTE,2,0.03125
2024,Ciência Política / RI,SUDESTE,28,0.4375
2024,Ciência Política / RI,SUL,13,0.203125
2024,Sociologia,CENTRO-OESTE,8,0.09876543209876543
2024,Sociologia,NORDESTE,21,0.25925925925925924
2024,Sociologia,NORTE,6,0.07407407407407407
2024,Sociologia,SUDESTE,27,0.3333333333333333
2024,Sociologia,SUL,19,0.2345679012345679
2024,Antropologia / Arqueologia,CENTRO-OESTE,16,0.10191082802547771
2024,Antropologia / Arqueologia,NORDESTE,37,0.2356687898089172
2024,Antropologia / Arqueologia,NORTE,14,0.08917197452229299
2024,Antropologia / Arqueologia,SUDESTE,61,0.3885350318471338
2024,Antropologia / Arqueologia,SUL,29,0.18471337579617833
2024,História,CENTRO-OESTE,26,0.12093023255813953
2024,História,NORDESTE,43,0.2
2024,História,NORTE,13,0.06046511627906977
2024,História,SUDESTE,90,0.4186046511627907
2024,História,SUL,43,0.2
