fonte,k_num,topico,ano,estimativa,ic_inf,ic_sup
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",1989,0.03571313625801383,0.012520221128094394,0.06112228743301387
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",1990,0.03798851855984186,0.01933989684180494,0.05725902860904751
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",1991,0.039273942479630695,0.023534992729445398,0.0552162066532755
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",1992,0.039709886684978025,0.025102539151672067,0.05381165112475411
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",1993,0.03943682984348149,0.025866768823760794,0.05290456295918616
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",1994,0.03859525062273877,0.025944464556270568,0.05143489476610331
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",1995,0.03732562769034751,0.02531920044441526,0.049405685649670864
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",1996,0.035768439713905385,0.024501214729107098,0.04700161784377654
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",1997,0.03406416536101005,0.023526563780939123,0.04448308483112606
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",1998,0.032353283299259177,0.022634886160497664,0.04210673867294655
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",1999,0.030776272196250416,0.021150438157264854,0.04026680033841208
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",2000,0.02947361071958144,0.019940996783070958,0.039013621734336666
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",2001,0.028585777536849908,0.018580286755786067,0.03851710011575771
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",2002,0.02825325131565348,0.017862178184092997,0.038649382643736435
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",2003,0.028616510723589825,0.01794180310599847,0.039346886062996064
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",2004,0.0298160344282566,0.018993517684208528,0.04016181347144285
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",2005,0.03190890718065947,0.021360496536327784,0.041655721355810554
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",2006,0.034618638065436136,0.024309374208445034,0.0446111068171101
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",2007,0.03758534225063232,0.027104160375965906,0.047889082260707636
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",2008,0.04044913490429371,0.02950461284157834,0.05122555681957074
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",2009,0.04285013119446599,0.032159559573942724,0.053333468821929
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",2010,0.04442844628919493,0.03422083225993912,0.05412015353651661
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",2011,0.04498644709817622,0.036186299704866046,0.053405827771006956
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",2012,0.0449755074977059,0.03603567226861435,0.05341510127298514
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",2013,0.04500925310572999,0.03569989233756926,0.054063516492284816
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",2014,0.04570130954019457,0.03743644467819912,0.05402644263016846
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",2015,0.04738599768545924,0.04001159045515654,0.05534415580893237
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",2016,0.04928041949153797,0.04096033759776489,0.058425572916971716
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",2017,0.05067671762281246,0.042800231747057035,0.058656133050451115
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",2018,0.05228441653548127,0.0433421452071165,0.06148062224824339
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",2019,0.05516738613369716,0.04643561852144709,0.06537921870230934
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",2020,0.05950025445917588,0.05057353263503092,0.06987188522986766
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",2021,0.061900682103885225,0.05192921836527512,0.07258647752431645
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",2022,0.06059450895413308,0.04829880295604735,0.07383157545660692
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",2023,0.06379725952333566,0.051988159513568076,0.07504619875180799
composição fixa,4,"T4: Defesa, Forças Armadas e Operações de Paz",2024,0.05832621115407562,0.04589481885843333,0.07024585334403048
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",1984,0.19116556501805718,0.04537395514546228,0.34359796907696105
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",1985,0.1832964334233702,0.06750283209488522,0.3027831339506727
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",1986,0.17726430952822975,0.08702183404283823,0.27096676120959345
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",1987,0.17293247955873542,0.10446220397703052,0.2459016159920193
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",1988,0.17016422974098702,0.11895631191282557,0.22520948601678004
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",1989,0.1688228463010842,0.13031560534401918,0.21061035594440902
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",1990,0.16877161546512667,0.13866594887346384,0.20045084942321872
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",1991,0.16987382345921417,0.14528004693509772,0.19536541799338436
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",1992,0.1719927565094464,0.1496924480266486,0.1937713540059891
