ano,area_nome,nivel,titulos
2012,Antropologia / Arqueologia,Mestrado,273
2012,Antropologia / Arqueologia,Não informado,0
2012,Ciência Política / RI,Doutorado,87
2012,Ciência Política / RI,Mestrado,300
2012,Ciência Política / RI,Não informado,29
2012,Economia,Doutorado,149
2012,Economia,Mestrado,538
2012,Economia,Não informado,341
2012,Geografia,Doutorado,258
2012,Geografia,Mestrado,673
2012,Geografia,Não informado,0
2012,História,Doutorado,291
2012,História,Mestrado,915
2012,História,Não informado,15
2012,Não identificado,Doutorado,576
2012,Não identificado,Mestrado,1645
2012,Não identificado,Não informado,230
2012,Sociologia,Doutorado,302
2012,Sociologia,Mestrado,676
2012,Sociologia,Não informado,26
2013,Antropologia / Arqueologia,Doutorado,87
2013,Antropologia / Arqueologia,Mestrado,283
2013,Antropologia / Arqueologia,Não informado,0
2013,Ciência Política / RI,Doutorado,101
2013,Ciência Política / RI,Mestrado,381
2013,Ciência Política / RI,Não informado,0
2013,Economia,Doutorado,146
2013,Economia,Mestrado,835
2013,Economia,Não informado,0
2013,Geografia,Doutorado,290
2013,Geografia,Mestrado,752
2013,Geografia,Não informado,0
2013,História,Doutorado,329
2013,História,Mestrado,993
2013,História,Não informado,0
2013,Não identificado,Doutorado,778
2013,Não identificado,Mestrado,2254
2013,Não identificado,Não informado,0
2013,Sociologia,Doutorado,335
2013,Sociologia,Mestrado,748
2013,Sociologia,Não informado,0
2014,Antropologia / Arqueologia,Doutorado,105
2014,Antropologia / Arqueologia,Mestrado,293
2014,Antropologia / Arqueologia,Não informado,0
2014,Ciência Política / RI,Doutorado,98
2014,Ciência Política / RI,Mestrado,369
2014,Ciência Política / RI,Não informado,0
2014,Economia,Doutorado,169
2014,Economia,Mestrado,898
2014,Economia,Não informado,0
2014,Geografia,Doutorado,240
2014,Geografia,Mestrado,804
2014,Geografia,Não informado,0
2014,História,Doutorado,322
2014,História,Mestrado,1045
2014,História,Não informado,0
2014,Não identificado,Doutorado,845
2014,Não identificado,Mestrado,2410
2014,Não identificado,Não informado,0
2014,Sociologia,Doutorado,396
2014,Sociologia,Mestrado,714
2014,Sociologia,Não informado,0
2015,Antropologia / Arqueologia,Doutorado,117
2015,Antropologia / Arqueologia,Mestrado,335
2015,Antropologia / Arqueologia,Não informado,0
2015,Ciência Política / RI,Doutorado,144
2015,Ciência Política / RI,Mestrado,397
2015,Ciência Política / RI,Não informado,0
2015,Economia,Doutorado,166
2015,Economia,Mestrado,900
2015,Economia,Não informado,0
2015,Geografia,Doutorado,364
2015,Geografia,Mestrado,817
2015,Geografia,Não informado,0
2015,História,Doutorado,411
